time,event,delta,cumulative,at_capacity
2025-09-01 17:33:06.034,arrival,1,1196,True
2025-09-01 17:34:06.796,arrival,1,1197,True
2025-09-01 17:36:20.832,arrival,1,1198,True
2025-09-01 17:36:41.884,arrival,1,1199,True
2025-09-01 17:38:43.315,arrival,1,1200,True
2025-09-01 17:40:24.680,departure,-1,1199,True
2025-09-01 17:41:36.677,arrival,1,1200,True
2025-09-01 17:43:34.585,departure,-1,1199,True
2025-09-01 17:44:10.223,departure,-1,1198,True
2025-09-01 17:47:26.094,departure,-1,1197,True
2025-09-01 17:47:45.939,arrival,1,1198,True
2025-09-01 17:47:48.621,departure,-1,1197,True
2025-09-01 17:48:38.237,arrival,1,1198,True
2025-09-01 17:50:01.017,departure,-1,1197,True
2025-09-01 17:52:04.645,departure,-1,1196,True
2025-09-01 17:54:55.441,departure,-1,1195,True
2025-09-01 17:55:17.161,arrival,1,1196,True
2025-09-01 17:59:49.328,arrival,1,1197,True
2025-09-01 18:00:10.014,departure,-1,1196,True
2025-09-01 18:00:29.942,arrival,1,1197,True
2025-09-01 18:00:32.271,departure,-1,1196,True
2025-09-01 18:01:37.075,arrival,1,1197,True
2025-09-01 18:01:45.662,arrival,1,1198,True
2025-09-01 18:04:05.597,arrival,1,1199,True
2025-09-01 18:05:14.089,arrival,1,1200,True
2025-09-01 18:05:16.387,departure,-1,1199,True
2025-09-01 18:09:54.738,arrival,1,1200,True
2025-09-01 18:10:23.508,arrival,1,1201,True
2025-09-01 18:11:48.033,arrival,1,1202,True
2025-09-01 18:11:54.622,departure,-1,1201,True
2025-09-01 18:11:55.866,departure,-1,1200,True
2025-09-01 18:12:31.174,arrival,1,1201,True
2025-09-01 18:12:33.014,arrival,1,1202,True
2025-09-01 18:12:42.801,departure,-1,1201,True
2025-09-01 18:14:06.084,departure,-1,1200,True
2025-09-01 18:14:26.824,departure,-1,1199,True
2025-09-01 18:15:41.884,departure,-1,1198,True
2025-09-01 18:16:22.415,arrival,1,1199,True
2025-09-01 18:16:31.975,arrival,1,1200,True
2025-09-01 18:23:34.820,arrival,1,1201,True
2025-09-01 18:24:26.839,arrival,1,1202,True
2025-09-01 18:24:35.528,departure,-1,1201,True
2025-09-01 18:25:31.597,departure,-1,1200,True
