time,event,delta,inventory,at_capacity,at_empty
2025-09-02 21:52:06.783,arrival,1,4,False,False
2025-09-02 22:03:38.042,departure,-1,3,False,False
2025-09-02 22:06:14.440,departure,-1,2,False,False
2025-09-03 06:22:16.428,arrival,1,3,False,False
2025-09-03 06:51:31.116,arrival,1,4,False,False
2025-09-03 06:59:50.827,departure,-1,3,False,False
2025-09-03 07:36:07.352,arrival,1,4,False,False
2025-09-03 07:39:55.392,arrival,1,5,False,False
2025-09-03 07:40:13.315,arrival,1,6,False,False
2025-09-03 07:43:27.189,departure,-1,5,False,False
2025-09-03 07:46:49.220,departure,-1,4,False,False
2025-09-03 07:47:50.002,arrival,1,5,False,False
2025-09-03 07:53:42.204,arrival,1,6,False,False
2025-09-03 07:55:26.600,departure,-1,5,False,False
2025-09-03 07:56:12.842,departure,-1,4,False,False
2025-09-03 07:58:07.589,departure,-1,3,False,False
2025-09-03 08:00:28.519,arrival,1,4,False,False
2025-09-03 08:00:32.013,arrival,1,5,False,False
2025-09-03 08:00:55.789,arrival,1,6,False,False
2025-09-03 08:02:17.570,arrival,1,7,False,False
2025-09-03 08:04:47.873,arrival,1,8,False,False
2025-09-03 08:07:57.207,departure,-1,7,False,False
2025-09-03 08:08:52.718,arrival,1,8,False,False
2025-09-03 08:10:52.748,arrival,1,9,False,False
2025-09-03 08:12:10.757,arrival,1,10,False,False
2025-09-03 08:12:44.080,arrival,1,11,False,False
2025-09-03 08:13:52.712,departure,-1,10,False,False
2025-09-03 08:15:20.183,arrival,1,11,False,False
2025-09-03 08:15:45.770,arrival,1,12,False,False
2025-09-03 08:15:59.857,arrival,1,13,False,False
2025-09-03 08:17:01.950,arrival,1,14,False,False
2025-09-03 08:20:36.409,departure,-1,13,False,False
2025-09-03 08:21:14.564,arrival,1,14,False,False
2025-09-03 08:21:33.891,departure,-1,13,False,False
2025-09-03 08:23:42.309,arrival,1,14,False,False
2025-09-03 08:24:42.728,arrival,1,15,False,False
2025-09-03 08:24:51.972,departure,-1,14,False,False
2025-09-03 08:24:54.131,arrival,1,15,False,False
2025-09-03 08:24:57.351,arrival,1,16,False,False
2025-09-03 08:25:05.532,arrival,1,17,False,False
2025-09-03 08:25:07.721,arrival,1,18,False,False
2025-09-03 08:27:02.380,arrival,1,19,False,False
2025-09-03 08:27:40.648,arrival,1,20,False,False
2025-09-03 08:28:24.661,departure,-1,19,False,False
2025-09-03 08:29:10.981,arrival,1,20,False,False
2025-09-03 08:30:16.995,arrival,1,21,False,False
2025-09-03 08:30:45.381,arrival,1,22,False,False
2025-09-03 08:36:57.217,arrival,1,23,True,False
2025-09-03 08:40:01.747,arrival,1,23,True,False
2025-09-03 08:40:22.515,departure,-1,22,False,False
2025-09-03 08:40:36.369,arrival,1,23,True,False
2025-09-03 08:41:01.148,departure,-1,22,False,False
2025-09-03 08:42:16.386,departure,-1,21,False,False
2025-09-03 08:43:13.467,arrival,1,22,False,False
2025-09-03 08:43:51.929,departure,-1,21,False,False
2025-09-03 08:49:01.666,arrival,1,22,False,False
2025-09-03 09:01:00.979,arrival,1,23,True,False
2025-09-03 09:01:13.037,departure,-1,22,False,False
